dataset,dimu_mass,n,weighted:sumw,weighted:sumw2
data,"(-inf, 60.0]",993.0,,
data,"(60.0, 61.0]",38.0,,
data,"(61.0, 62.0]",25.0,,
data,"(62.0, 63.0]",22.0,,
data,"(63.0, 64.0]",28.0,,
data,"(64.0, 65.0]",29.0,,
data,"(65.0, 66.0]",17.0,,
data,"(66.0, 67.0]",37.0,,
data,"(67.0, 68.0]",34.0,,
data,"(68.0, 69.0]",31.0,,
data,"(69.0, 70.0]",39.0,,
data,"(70.0, 71.0]",35.0,,
data,"(71.0, 72.0]",41.0,,
data,"(72.0, 73.0]",34.0,,
data,"(73.0, 74.0]",37.0,,
data,"(74.0, 75.0]",44.0,,
data,"(75.0, 76.0]",55.0,,
data,"(76.0, 77.0]",54.0,,
data,"(77.0, 78.0]",56.0,,
data,"(78.0, 79.0]",70.0,,
data,"(79.0, 80.0]",75.0,,
data,"(80.0, 81.0]",91.0,,
data,"(81.0, 82.0]",109.0,,
data,"(82.0, 83.0]",148.0,,
data,"(83.0, 84.0]",172.0,,
data,"(84.0, 85.0]",224.0,,
data,"(85.0, 86.0]",344.0,,
data,"(86.0, 87.0]",425.0,,
data,"(87.0, 88.0]",682.0,,
data,"(88.0, 89.0]",1139.0,,
data,"(89.0, 90.0]",1794.0,,
data,"(90.0, 91.0]",2202.0,,
data,"(91.0, 92.0]",2112.0,,
data,"(92.0, 93.0]",1571.0,,
data,"(93.0, 94.0]",991.0,,
data,"(94.0, 95.0]",565.0,,
data,"(95.0, 96.0]",339.0,,
data,"(96.0, 97.0]",221.0,,
data,"(97.0, 98.0]",143.0,,
data,"(98.0, 99.0]",143.0,,
data,"(99.0, 100.0]",98.0,,
data,"(100.0, 101.0]",84.0,,
data,"(101.0, 102.0]",53.0,,
data,"(102.0, 103.0]",53.0,,
data,"(103.0, 104.0]",33.0,,
data,"(104.0, 105.0]",28.0,,
data,"(105.0, 106.0]",26.0,,
data,"(106.0, 107.0]",34.0,,
data,"(107.0, 108.0]",22.0,,
data,"(108.0, 109.0]",12.0,,
data,"(109.0, 110.0]",18.0,,
data,"(110.0, 111.0]",14.0,,
data,"(111.0, 112.0]",18.0,,
data,"(112.0, 113.0]",11.0,,
data,"(113.0, 114.0]",11.0,,
data,"(114.0, 115.0]",11.0,,
data,"(115.0, 116.0]",5.0,,
data,"(116.0, 117.0]",13.0,,
data,"(117.0, 118.0]",10.0,,
data,"(118.0, 119.0]",3.0,,
data,"(119.0, 120.0]",7.0,,
data,"(120.0, inf]",222.0,,
dy,"(-inf, 60.0]",821.0,655.57080078125,1017.5491333007812
dy,"(60.0, 61.0]",56.0,23.963226318359375,12.091141700744629
dy,"(61.0, 62.0]",56.0,25.572839736938477,13.094128608703613
dy,"(62.0, 63.0]",68.0,29.271623611450195,14.551395416259766
dy,"(63.0, 64.0]",51.0,22.941726684570312,11.584543228149414
dy,"(64.0, 65.0]",46.0,20.53459930419922,10.06289005279541
dy,"(65.0, 66.0]",65.0,29.464412689208984,14.80356502532959
dy,"(66.0, 67.0]",63.0,27.861013412475586,13.884596824645996
dy,"(67.0, 68.0]",75.0,34.17352294921875,17.18979263305664
dy,"(68.0, 69.0]",64.0,26.97164535522461,13.226688385009766
dy,"(69.0, 70.0]",71.0,32.570892333984375,16.710172653198242
dy,"(70.0, 71.0]",73.0,34.225650787353516,17.51877212524414
dy,"(71.0, 72.0]",89.0,40.59296417236328,20.166593551635742
dy,"(72.0, 73.0]",85.0,38.4106330871582,19.494348526000977
dy,"(73.0, 74.0]",96.0,45.88950729370117,23.790203094482422
dy,"(74.0, 75.0]",97.0,39.3079948425293,18.945411682128906
dy,"(75.0, 76.0]",134.0,59.09033203125,29.643198013305664
dy,"(76.0, 77.0]",146.0,64.98841857910156,33.13392639160156
dy,"(77.0, 78.0]",162.0,70.99700927734375,35.594940185546875
dy,"(78.0, 79.0]",155.0,72.7538833618164,37.04958724975586
dy,"(79.0, 80.0]",201.0,90.92572784423828,46.549903869628906
dy,"(80.0, 81.0]",196.0,86.14562225341797,43.148780822753906
dy,"(81.0, 82.0]",260.0,119.85286712646484,60.86655044555664
