dataset,nMuons,nIsoMuons,n,weighted:sumw,weighted:sumw2
data,0,0,227265.0,,
data,1,0,17795.0,,
data,1,1,205616.0,,
data,2,0,107.0,,
data,2,1,2393.0,,
data,2,2,16207.0,,
data,3,3,1.0,,
dy,0,0,2181.0,787.2786254882812,553.8453979492188
dy,1,0,2472.0,910.0523681640625,678.6613159179688
dy,1,1,29027.0,13163.787109375,9294.2890625
dy,2,0,351.0,101.00347137451172,57.39213180541992
dy,2,1,6139.0,2323.9384765625,1318.1295166015625
dy,2,2,37558.0,16828.931640625,9283.8505859375
dy,3,3,1.0,0.5182890295982361,0.2686235308647156
qcd,0,0,124.0,18058.283203125,25392802.0
qcd,1,0,3.0,284.6650085449219,35835.95703125
qcd,1,1,15.0,60817.5546875,3050069760.0
single_top,0,0,272.0,13.793803215026855,0.8427735567092896
single_top,1,0,314.0,15.295459747314453,0.9305891990661621
single_top,1,1,4969.0,275.8467102050781,17.43435287475586
single_top,2,0,1.0,0.06528829038143158,0.0042625609785318375
single_top,2,1,17.0,0.873434841632843,0.05163905397057533
single_top,2,2,111.0,5.748312473297119,0.3327018618583679
ttbar,0,0,30856.0,6590.4658203125,1715.45654296875
ttbar,1,0,639.0,122.77212524414062,31.1220760345459
ttbar,1,1,5153.0,1150.3260498046875,303.312744140625
ttbar,2,0,3.0,0.5516368746757507,0.15215545892715454
ttbar,2,1,64.0,13.730672836303711,3.57924485206604
ttbar,2,2,226.0,51.6297492980957,13.769474029541016
wjets,0,0,7080.0,11070.9501953125,23975.4765625
wjets,1,0,7523.0,11768.955078125,25356.263671875
wjets,1,1,95132.0,186761.140625,425610.8125
wjets,2,1,1.0,2.1902856826782227,4.797351360321045
wjets,2,2,1.0,0.3119172751903534,0.09729238599538803
ww,0,0,264.0,11.555492401123047,0.6745439767837524
ww,1,0,241.0,10.663578987121582,0.6142156720161438
ww,1,1,3786.0,193.11669921875,11.611559867858887
ww,2,0,6.0,0.2714223861694336,0.015220113098621368
ww,2,1,39.0,1.7028981447219849,0.0980195477604866
ww,2,2,244.0,12.639495849609375,0.7602576017379761
wz,0,0,157.0,2.6275320053100586,0.06310512870550156
wz,1,0,120.0,2.1493380069732666,0.050638869404792786
wz,1,1,2371.0,50.04713821411133,1.2436925172805786
wz,2,0,2.0,0.02655920200049877,0.0005835150368511677
wz,2,1,94.0,1.9195855855941772,0.04745539650321007
wz,2,2,562.0,11.915977478027344,0.2963927984237671
wz,3,2,9.0,0.12081259489059448,0.0026745733339339495
wz,3,3,52.0,1.1209684610366821,0.027319610118865967
zz,0,0,59.0,0.31077906489372253,0.0023887695278972387
zz,1,0,54.0,0.3160865604877472,0.0024504077155143023
zz,1,1,895.0,6.152667999267578,0.0510522685945034
zz,2,0,3.0,0.01192771177738905,8.938449173001572e-05
zz,2,1,172.0,1.1257476806640625,0.009155510924756527
zz,2,2,1196.0,8.708868026733398,0.0725003033876419
zz,3,0,1.0,0.00607921602204442,3.695686609717086e-05
zz,3,1,1.0,0.00024142651818692684,5.82867620835259e-08
zz,3,2,8.0,0.06118212640285492,0.0005193229881115258
zz,3,3,24.0,0.1755536049604416,0.0014482972910627723
zz,4,1,1.0,0.0001762506435625255,3.1064288918969396e-08
zz,4,4,7.0,0.053211234509944916,0.00043275963980704546
